"","x"
"1",35921672
"2",35965150
"3",35922610
"4",35947665
"5",35995919
"6",35938444
"7",35885932
"8",35992385
"9",36015093
"10",35972862
"11",35994221
"12",36021745
"13",35913038
"14",36006527
"15",36015225
"16",36013680
"17",35992778
"18",35984578
"19",35978815
"20",35977515
"21",35973089
"22",35970235
"23",35969964
"24",35966679
"25",35940404
"26",35939245
"27",35939156
"28",35938637
"29",35938508
"30",35938240
"31",35938122
"32",35938007
"33",35936394
"34",35934165
"35",35911897
"36",35837524
"37",35837338
"38",35836639
"39",35836637
"40",35836288
"41",35836221
"42",35836214
"43",35836163
"44",35835605
"45",35835394
"46",35835021
"47",35834927
"48",35834439
"49",35834070
"50",35833871
"51",35833848
"52",35833592
"53",35833487
"54",35833143
"55",35833058
"56",35832867
"57",35832180
"58",35976553
"59",36011403
"60",35913111
"61",35973038
"62",35951591
"63",36003552
"64",35998606
"65",35981651
"66",35978625
"67",35973249
"68",35953165
"69",35952741
"70",35939337
"71",35917004
"72",35857256
"73",36015554
"74",35956106
"75",35974875
"76",36014685
"77",36014104
"78",36012377
"79",36008608
"80",36008261
"81",36007544
"82",36007373
"83",36007182
"84",36007122
"85",36006828
"86",36006820
"87",36006103
"88",36003239
"89",36000088
"90",35999268
"91",35999061
"92",35998976
"93",35998527
"94",35998096
"95",35997356
"96",35997137
"97",35996387
"98",35995459
"99",35994950
"100",35994866
"101",35994734
"102",35994584
"103",35993399
"104",35992832
"105",35992680
"106",35992652
"107",35992641
"108",35992639
"109",35992635
"110",35992630
"111",35992621
"112",35992361
"113",35992283
"114",35987135
"115",35986962
"116",35986850
"117",35986846
"118",35986820
"119",35986537
"120",35985868
"121",35985862
"122",35985844
"123",35985826
"124",35985734
"125",35985593
"126",35985539
"127",35985224
"128",35984624
"129",35984575
"130",35984549
"131",35984537
"132",35984337
"133",35984176
"134",35983121
"135",35982614
"136",35982324
"137",35982251
"138",35982058
"139",35981916
"140",35981199
"141",35980547
"142",35979178
"143",35978213
"144",35977934
"145",35977113
"146",35976749
"147",35976715
"148",35976646
"149",35976425
"150",35975919
"151",35975155
"152",35975035
"153",35974878
"154",35973977
"155",35971731
"156",35971649
"157",35971600
"158",35970969
"159",35970460
"160",35969917
"161",35969823
"162",35969251
"163",35968731
"164",35968657
"165",35968356
"166",35966797
"167",35966241
"168",35966233
"169",35966132
"170",35965342
"171",35965311
"172",35965252
"173",35964572
"174",35964439
"175",35964401
"176",35963280
"177",35962946
"178",35962714
"179",35962481
"180",35961934
"181",35961490
"182",35961455
"183",35960928
"184",35960617
"185",35960590
"186",35960323
"187",35960259
"188",35959305
"189",35958454
"190",35956790
"191",35956053
"192",35955610
"193",35955567
"194",35953645
"195",35953492
"196",35953403
"197",35952642
"198",35951659
"199",35951366
"200",35951031
"201",35950758
"202",35950731
"203",35950717
"204",35950707
"205",35950694
"206",35950689
"207",35950612
"208",35950601
"209",35950585
"210",35950565
"211",35950531
"212",35950521
"213",35950440
"214",35950263
"215",35950251
"216",35950102
"217",35950022
"218",35949214
"219",35948736
"220",35948530
"221",35948177
"222",35947947
"223",35947327
"224",35946877
"225",35946479
"226",35946458
"227",35946439
"228",35945531
"229",35945386
"230",35945309
"231",35945261
"232",35940215
"233",35939734
"234",35939641
"235",35938845
"236",35938003
"237",35937806
"238",35937478
"239",35936969
"240",35935863
"241",35935852
"242",35935628
"243",35935281
"244",35932676
"245",35932500
"246",35931472
"247",35931010
"248",35930291
"249",35930081
"250",35930053
"251",35930031
"252",35930024
"253",35930008
"254",35929330
"255",35924687
"256",35924274
"257",35922452
"258",35920621
"259",35920602
"260",35917633
"261",35913238
"262",35911836
"263",35908920
"264",35908683
"265",35908422
"266",35908339
"267",35908186
"268",35905421
"269",35901578
"270",35893002
"271",35892191
"272",35884539
"273",35876931
"274",35870663
"275",35870541
"276",35870486
"277",35845252
"278",35845089
"279",35844619
"280",35844552
"281",35844503
"282",35843285
"283",35842948
"284",35842450
"285",35841569
"286",35840860
"287",35840453
"288",35820046
"289",35786140
"290",35996139
"291",35969171
"292",35957718
"293",35992724
"294",35986200
"295",35986196
"296",35978056
"297",35911488
"298",36006212
"299",36007066
"300",36009560
"301",36006093
"302",36003301
"303",36001251
"304",36000642
"305",35999324
"306",35999303
"307",35998979
"308",35997911
"309",35997128
"310",35995857
"311",35995679
"312",35994568
"313",35993850
"314",35993197
"315",35989984
"316",35986861
"317",35986601
"318",35985936
"319",35985818
"320",35982115
"321",35981794
"322",35981540
"323",35980722
"324",35979239
"325",35978466
"326",35978080
"327",35976567
"328",35974985
"329",35974242
"330",35971850
"331",35969609
"332",35969604
"333",35965629
"334",35962963
"335",35962754
"336",35962374
"337",35960433
"338",35960119
"339",35959393
"340",35958468
"341",35953312
"342",35952619
"343",35952268
"344",35951312
"345",35950277
"346",35950076
"347",35948960
"348",35940013
"349",35937285
"350",35933515
"351",35930017
"352",35928080
"353",35922579
"354",35921161
"355",35913967
"356",35994246
"357",35954208
"358",35965528
"359",35973616
"360",35965829
"361",35961472
"362",35996974
"363",35981486
"364",35959367
"365",35951843
"366",35931464
"367",35916953
"368",35950610
"369",35961463
"370",36009157
"371",36016402
"372",36016133
"373",36015954
"374",36013378
"375",36010804
"376",36008297
"377",36008172
"378",36007241
"379",36007101
"380",36006769
"381",36006544
"382",36006236
"383",36005270
"384",36004930
"385",36004789
"386",36004750
"387",36003558
"388",36002771
"389",36002254
"390",35999210
"391",35994624
"392",35992968
"393",35992781
"394",35984626
"395",35974862
"396",35971075
"397",35968970
"398",35968526
"399",35967905
"400",35964757
"401",35957295
"402",35955427
"403",35954473
"404",35954408
"405",35954366
"406",35954355
"407",35951461
"408",35950705
"409",35950321
"410",35948796
"411",35948518
"412",35936897
"413",35891672
"414",35859912
"415",35845657
"416",36000938
"417",35912962
"418",35995277
"419",36017342
"420",35940492
"421",36008012
"422",35934728
"423",35934689
"424",35912915
"425",35891356
"426",36006127
"427",35999508
"428",35970659
"429",36026543
"430",36023541
"431",36023518
"432",36020981
"433",36020933
"434",36019925
"435",36019845
"436",36019720
"437",36018670
"438",36017053
"439",36016806
"440",36016540
"441",36016401
"442",36016065
"443",36015199
"444",36014679
"445",36014161
"446",36013498
"447",36012783
"448",36012268
"449",36012174
"450",36012082
"451",36012039
"452",36005518
"453",36005504
"454",36005457
"455",36004341
"456",36004307
"457",36004279
"458",36003534
"459",36002945
"460",36002558
"461",36002541
"462",36000519
"463",36000035
"464",35999616
"465",35999281
"466",35999021
"467",35998356
"468",35997015
"469",35995142
"470",35994476
"471",35992628
"472",35992485
"473",35985898
"474",35982028
"475",35978786
"476",35978353
"477",35978113
"478",35978050
"479",35977068
"480",35977049
"481",35977022
"482",35976994
"483",35975985
"484",35974709
"485",35973814
"486",35973722
"487",35973683
"488",35973447
"489",35973115
"490",35972809
"491",35970524
"492",35969012
"493",35968600
"494",35968305
"495",35968207
"496",35966953
"497",35966355
"498",35966017
"499",35965700
"500",35965443
"501",35962586
"502",35958181
"503",35956287
"504",35932103
"505",35931057
"506",35862810
"507",35862405
