"","keyword","salary"
"1","B2B,쇼핑몰,오픈마켓,전자상거래,쇼핑몰·오픈마켓","면접후 결정"
"2","B2B,B2C,쇼핑몰,오픈마켓,전자상거래,Excel·도표,고객관리,납품관리,매출분석·관리,사무보조,영업관리,영업지원,워드·문서작성,전산입력·편집,전표입력,전화응대,판매관리","2,400~2,600만원"
"3","가정의학과,임상병리사","2,600~2,800만원"
"4","IC설계,LED·AMOLED,반도체,발광다이오드,정밀광학,Analog,ASIC,AutoCad,catia,Digital,HMI·MMI,IC설계,Microprocessor,PDM·PLM,Pro-e,SMPS,VLSI,기계·기구설계,반도체,설계엔지니어","면접후 결정"
"5","성형외과,피부과,모바일UI,웹UI","면접후 결정"
"6","소비재,UI기획,모바일기획,쇼핑몰기획,웹서비스기획","면접후 결정"
"7","보습학원,수학","면접후 결정"
"8","음식료,중식당,요리사,조리사,주방장,중식,한식","3,000~3,200만원"
"9","성형외과,간호조무사,마취간호사,수술실간호사,수술실보조,환자처치·응대","면접후 결정"
"10","소프트웨어개발,PR,기업홍보,브랜드,언론홍보,홍보","면접후 결정"
"11","어학원,영어학원,노무·노사관리,성과관리,인사,인사평가,채용·면접","면접후 결정"
"12","건축설계·CAD,실내건축,인테리어,인테리어설계","면접후 결정"
"13","컨설팅,금융컨설팅,컨설턴트","면접후 결정"
"14","컨설팅,금융컨설팅,컨설턴트","면접후 결정"
"15","호텔,호텔","회사내규에 따름"
"16","전기,전자,기계설비,펌프·밸브·노즐","면접후 결정"
"17","AS,스토리지,유지보수,장비구축,하드웨어,HW(하드웨어),SW(소프트웨어),유지보수(AS)","면접후 결정"
"18","화장품,화장품,화장품영업","면접후 결정"
"19","네트워크보안,보안,정보보안,QA·테스터","회사내규에 따름"
"20","제과제빵점,매장관리,매장판매","2,200~2,400만원"
"21","건축,건축,구조·경량·골조,구조해석","면접후 결정"
"22","네트워크보안,보안,정보보안,Linux,네트워크관리,정보보안","회사내규에 따름"
"23","제과제빵점,매장관리,매장판매","면접후 결정"
"24","의류매장,매장판매","180"
"25","화장품,관리회계,회계","면접후 결정"
"26","구두·신발,의류매장,잡화매장,판매,노무·노사관리,보상·승진,복리후생,인사,임금협상·관리","면접후 결정"
"27","게임개발,게임운영,게임마케팅,마케팅전략·기획,온라인마케팅,해외마케팅","면접후 결정"
"28","악세서리,의류·의상,잡화,쥬얼리,패션,CRM","면접후 결정"
"29","게임개발,게임운영,C·C++,바이러스·백신,보안기술,보안컨설팅,서버·네트웍개발","면접후 결정"
"30","회계법인,경영컨설팅,신규사업·BD,전략기획","면접후 결정"
"31","금융기관,AWS,서버·네트웍개발","면접후 결정"
"32","게임개발,게임운영,C·C++,게임개발,클라이언트개발","면접후 결정"
"33","회계법인,경영컨설팅,전략기획","면접후 결정"
"34","게임개발,게임운영,Hadoop,Python,R,Spark,머신러닝","면접후 결정"
"35","3D온라인게임,게임,게임개발,웹게임,동시통역,번역,영어,통역","면접후 결정"
"36","사진·촬영,베이비,사진관·스튜디오,사진촬영기사,웨딩,포토그라퍼,행사진행","면접후 결정"
"37","양식당,음식료,패밀리레스토랑,프랜차이즈,양식,조리사,주방보조","회사내규에 따름"
"38","악세서리,의류·의상,잡화,쥬얼리,패션,UI·UX디자인,웹서비스기획","면접후 결정"
"39","면세점,교육·인재개발,매장관리,직업훈련교사","면접후 결정"
"40","백화점,고객관리,매장관리,매장판매,의류·구두·신발,잡화·가방·지갑","면접후 결정"
"41","생명보험,Hadoop,Python,R,Spark,빅데이터","면접후 결정"
"42","컨설팅,HR컨설팅,인사,인재컨설팅,임금협상·관리,채용·면접","면접후 결정"
"43","화장품,해외영업,화장품","면접후 결정"
"44","회계법인,PR,브랜드,언론홍보,홍보","면접후 결정"
"45","게임개발,게임운영,그래픽디자인,프로그래밍","면접후 결정"
"46","생명보험,보험계리사","면접후 결정"
"47","미디어,인터넷방송,라이센싱,마케팅전략·기획,온라인마케팅,저작권관리,컨텐츠관리,해외마케팅","면접후 결정"
"48","광고기획사,광고대행사,광고영업,프로모션대행사,홍보대행사,영상디자인,크리에이티브디렉터","면접후 결정"
"49","보안·경비업체,경호·경비,보안,순찰,시큐리티","2,800~3,000만원"
"50","호텔,하우스키핑,호텔","2,000~2,200만원"
"51","사진·촬영,베이비,사진관·스튜디오,사진촬영기사,웨딩,촬영,포토그라퍼","면접후 결정"
"52","장례·상조,영상편집","면접후 결정"
"53","운송·운수,육상운송,창고·보관,항공운송,일반영업","회사내규에 따름"
"54","호텔,하우스키핑,호텔","2,000~2,200만원"
"55","이비인후과,간호사,간호조무사","2,400~2,600만원"
"56","호텔,하우스키핑,호텔","2,200~2,400만원"
"57","이벤트·공연,공연기획,무대제작·설치,스텝·서포트","면접후 결정"
"58","SI·시스템통합,PM,Windows,기술지원,네트워크관리,서버관리","면접후 결정"
"59","AS,유지보수,하드웨어,네트워크관리,서버관리,유지·보수·교체","면접후 결정"
"60","의약·제약,제약영업","3,000~3,200만원"
"61","호텔,하우스키핑,호텔","2,200~2,400만원"
"62","폐수처리,수질환경","회사내규에 따름"
"63","요양병원,영양사","3,000~3,200만원"
"64","토목회사,실내건축","면접후 결정"
"65","SI·시스템통합,경영기획,기획,사업기획,전략기획,타당성분석","면접후 결정"
"66","기계,CNC·NCT,절삭·절곡(벤딩)","면접후 결정"
"67","소프트웨어개발,HTML,Java,Java·JSP,Linux,MS-SQL,MySQL,Oracle","회사내규에 따름"
"68","전기,전자,회로설계,CAM,OrCAD,PCB,설계엔지니어,전기·전자회로,전장","회사내규에 따름"
"69","네일아트,화장품·뷰티","210"
"70","물류센터,물류업,수입유통,유통업,구매관리,납품,물류,배송·운송,상품입출고,외주관리,유통,재고관리","2,600~2,800만원"
"71","전자,PCB,검사·검품,대기업생산직,전자,제조·가공","회사내규에 따름"
"72","음식료,바리스타·커피","면접후 결정"
"73","전자,회로설계,대기환경,수질환경,폐기물처리,환경","회사내규에 따름"
"74","유통업,CS,고객상담,고객지원,유통관리,인터넷·통신,홈쇼핑·쇼핑몰","2,600~2,800만원"
"75","BTL,국제회의,이벤트대행,전시기획,컨벤션,전시기획","2,000~2,200만원"
"76","유통업,물류,유통","2,000~2,200만원"
"77","음식료,프랜차이즈,매니져,매장관리,바리스타·커피,상품입출고,샵마스터,캐셔,캐셔·텔러,판매관리,홀서빙","회사내규에 따름"
"78","판매,주얼리·귀금속","회사내규에 따름"
"79","음식료,바리스타·커피","면접후 결정"
"80","보험사,고객상담,유통관리","회사내규에 따름"
"81","쇼핑몰,HTML  ,일러스트레이터,포토샵","면접후 결정"
"82","전자,검사·검품,제조·가공,품질관리","회사내규에 따름"
"83","잡화매장,판매,화장품매장,미용기타","3,000~3,200만원"
"84","전자,검사·검품,제조·가공,품질관리","2,400~2,600만원"
"85","공예디자인,이벤트플래너,파티플래너,프로모터,행사진행","1,800~2,000만원"
"86","영어학원,어학원강사,영어,영어회화","면접후 결정"
"87","기계설비,자동차부품,검사·검품,제조·가공,품질관리","3,000~3,200만원"
"88","전자,생산,제조·가공,조립,포장·코팅","2,400~2,600만원"
"89","보습학원,수학,일반학원강사,입시학원강사,전임강사","2,000~2,200만원"
"90","음식료,바리스타·커피","회사내규에 따름"
"91","제과제빵점,베이커리,제과·제빵사,파티쉐르","2,400~2,600만원"
