"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"1","주식회사 디케이테크인","카카오 공동체 고객관리시스템 Backend 개발자 채용","5","177","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 10시~오후 7시","경기 성남시 분당구지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유도점자블록, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"2","주식회사 디케이테크인","카카오 공동체 고객관리시스템 Backend 개발자 채용","5","177","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 10시~오후 7시","경기 성남시 분당구지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유도점자블록, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"3","주식회사 디케이테크인","다음부동산/다음금융 비즈운영툴 Backend 개발자 채용","5","99","경력 3~5년","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 10시~오후 7시","경기 성남시 분당구지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유도점자블록, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"4","한국지질자원연구원","2019년 한국지질자원연구원 정규직원 공개채용","313","7,058","신입·경력","학력무관","무관","회사내규에 따름","정규직, 계약직계약직 정규직 전환 가능 - 무기계약직",NA,NA,"대전 유성구, 대전전체, 경북전체, 경북 포항시","2019.04.01 00:00","2019.04.16 21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"216",NA,NA
"5","주식회사 디케이테크인","검색 Front-end 개발자 정규직 채용(제주 근무)","3","225","무관(신입포함)","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 9시~오후 6시","제주 제주시지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 캐주얼데이",NA,NA,NA
"6","주식회사 디케이테크인","사내시스템 웹 어플리케이션 개발자 채용(제주 근무)","4","173","경력 3년 이상","학력무관","무관","면접후 결정","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 10시~오후 7시","제주 제주시지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 사내...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"7","(주)인터플렉스","[영풍그룹] ㈜인터플렉스 각 부문 경력 모집","208","11,456","경력","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"경기 안산시 단원구, 경기전체, 안산시지도","2019.04.01 00:00","2019.04.14 23:59","활동/경험 해당직무 근무경험자격/능력 문서작성 우수자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","티오케이첨단재료","송도 일본계 반도체 화학재료 오퍼레이터 모집","98","1,531","신입·경력 3년 이하","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 오전 8시 30분~오후 5시 30분","인천 연수구지도","2019.04.01 09:00","2019.04.30 23:59",NA,"선택적복리후생","퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험",NA,"구내식당(사원식당), 점심식사 제공, 사내동호회 운영","휴게실, 카페테리아","기숙사 운영, 차량유류비지급","연차",NA,NA,NA,NA
"9","(주)오스테오닉","[영업] 의료기기 Sports  Medicine 기술영업 정규직 모집","8","246","신입·경력 3년 이하","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","서울 구로구지도","2019.04.01 14:00","2019.04.16 23:59","활동/경험 해당직무 근무경험근무조건 운전가능자","선택적복리후생","인센티브제, 스톡옵션, 퇴직금, 4대 보험",NA,"우수사원시상식, 워크샵, 플레이샵, 점심식사 제공",NA,NA,"연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원",NA,NA,NA,NA
"10","주식회사 디케이테크인","[카카오자회사] Front-end Developer 정규직 채용(근무지:가산)","22","325","경력 2년 이상","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 10시~오후 7시","서울 금천구지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유도점자블록, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
